q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(28, 28)",0.001,0.0031622776601683794,classic,4,montecarlo,local,0.8336734693877551,0.06757845179509572,0.6093537414965984,-11.933673469387742
0.75,10,"(28, 28)",0.001,0.0031622776601683794,logarithmic,4,montecarlo,local,0.8336734693877551,0.06757845179509572,0.6093537414965984,-11.933673469387742
0.75,10,"(28, 28)",0.001,0.005623413251903491,exponential,4,montecarlo,local,0.814795918367347,0.08097792285557938,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.005623413251903491,classic,4,montecarlo,local,0.814795918367347,0.08097792285557938,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.005623413251903491,logarithmic,4,montecarlo,local,0.814795918367347,0.08097792285557938,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.01,exponential,4,montecarlo,local,0.814795918367347,0.08097792285557938,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.01,classic,4,montecarlo,local,0.814795918367347,0.08097792285557938,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.01,logarithmic,4,montecarlo,local,0.814795918367347,0.08097792285557938,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.01778279410038923,exponential,4,montecarlo,local,0.8377551020408165,0.06864283514802923,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.01778279410038923,classic,4,montecarlo,local,0.814795918367347,0.08097792285557938,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.01778279410038923,logarithmic,4,montecarlo,local,0.8369897959183674,0.06829353691606882,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.03162277660168379,exponential,4,montecarlo,local,0.8369897959183673,0.06844583143552005,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.03162277660168379,classic,4,montecarlo,local,0.8369897959183673,0.06844583143552005,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.03162277660168379,logarithmic,4,montecarlo,local,0.8369897959183674,0.06829353691606882,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.05623413251903491,exponential,4,montecarlo,local,0.8369897959183673,0.06844583143552005,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.05623413251903491,classic,4,montecarlo,local,0.8369897959183673,0.06844583143552005,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.05623413251903491,logarithmic,4,montecarlo,local,0.8165816326530612,0.0817477664136417,0.6093537414965984,-12.581632653061234
0.75,10,"(28, 28)",0.001,0.1,exponential,4,montecarlo,local,0.8255102040816326,0.0633578158397868,0.6093537414965984,-11.887755102040813
0.75,10,"(28, 28)",0.001,0.1,classic,4,montecarlo,local,0.8369897959183673,0.06844583143552005,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.1,logarithmic,4,montecarlo,local,0.8198979591836734,0.06636772660985357,0.6093537414965984,-11.806122448979607
0.75,10,"(28, 28)",0.0014260138716967108,1e-07,exponential,4,montecarlo,local,0.8112244897959183,0.06388765649999399,0.6093537414965984,-11.806122448979607
0.75,10,"(28, 28)",0.0014260138716967108,1e-07,classic,4,montecarlo,local,0.8255102040816326,0.0633578158397868,0.6093537414965984,-11.887755102040813
0.75,10,"(28, 28)",0.0014260138716967108,1e-07,logarithmic,4,montecarlo,local,0.8112244897959183,0.06388765649999399,0.6093537414965984,-11.806122448979607
0.75,10,"(28, 28)",0.0014260138716967108,1.7782794100389227e-07,exponential,4,montecarlo,local,0.8112244897959183,0.06388765649999399,0.6093537414965984,-11.806122448979607
0.75,10,"(28, 28)",0.0014260138716967108,1.7782794100389227e-07,classic,4,montecarlo,local,0.826530612244898,0.06739716741644339,0.6093537414965984,-12.08673469387756
0.75,10,"(28, 28)",0.0014260138716967108,1.7782794100389227e-07,logarithmic,4,montecarlo,local,0.8323979591836734,0.04913678538156845,0.6093537414965984,-12.025510204081655
0.75,10,"(28, 28)",0.0014260138716967108,3.162277660168379e-07,exponential,4,montecarlo,local,0.8112244897959183,0.06388765649999399,0.6093537414965984,-11.806122448979607
0.75,10,"(28, 28)",0.0014260138716967108,3.162277660168379e-07,classic,4,montecarlo,local,0.8176020408163265,0.06040318598496709,0.6093537414965984,-11.979591836734699
0.75,10,"(28, 28)",0.0014260138716967108,3.162277660168379e-07,logarithmic,4,montecarlo,local,0.815561224489796,0.07110943648713368,0.6093537414965984,-11.142857142857139
0.75,10,"(28, 28)",0.0014260138716967108,5.62341325190349e-07,exponential,4,montecarlo,local,0.8323979591836734,0.04913678538156845,0.6093537414965984,-12.025510204081655
0.75,10,"(28, 28)",0.0014260138716967108,5.62341325190349e-07,classic,4,montecarlo,local,0.815561224489796,0.07110943648713368,0.6093537414965984,-11.142857142857139
0.75,10,"(28, 28)",0.0014260138716967108,5.62341325190349e-07,logarithmic,4,montecarlo,local,0.815561224489796,0.07110943648713368,0.6093537414965984,-11.142857142857139
0.75,10,"(28, 28)",0.0014260138716967108,1e-06,exponential,4,montecarlo,local,0.8318877551020408,0.06408547125510719,0.6093537414965984,-13.811224489795933
0.75,10,"(28, 28)",0.0014260138716967108,1e-06,classic,4,montecarlo,local,0.8244897959183675,0.06365089866837016,0.6093537414965984,-14.137755102040813
