q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(10, 10)",0.0014260138716967108,3.162277660168379e-06,logarithmic,,montecarlo,turkey,0.714030612244898,0.1277826977596362,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.623413251903491e-06,exponential,,montecarlo,turkey,0.7125,0.1292491552291422,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.623413251903491e-06,classic,,montecarlo,turkey,0.713265306122449,0.1283961795593924,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.623413251903491e-06,logarithmic,,montecarlo,turkey,0.7125,0.1292491552291422,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1e-05,exponential,,montecarlo,turkey,0.7117346938775511,0.12862304600400584,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1e-05,classic,,montecarlo,turkey,0.7119897959183673,0.12864555888528745,0.6093537414965984,-22.684937763306237
0.75,10,"(10, 10)",0.0014260138716967108,1e-05,logarithmic,,montecarlo,turkey,0.7117346938775511,0.12862304600400584,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1.778279410038923e-05,exponential,,montecarlo,turkey,0.7119897959183673,0.12864555888528745,0.6093537414965984,-22.684937763306237
0.75,10,"(10, 10)",0.0014260138716967108,1.778279410038923e-05,classic,,montecarlo,turkey,0.7119897959183673,0.12864555888528745,0.6093537414965984,-22.684937763306237
0.75,10,"(10, 10)",0.0014260138716967108,1.778279410038923e-05,logarithmic,,montecarlo,turkey,0.7122448979591838,0.12928313706498137,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,3.1622776601683795e-05,exponential,,montecarlo,turkey,0.7117346938775511,0.12862304600400584,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,3.1622776601683795e-05,classic,,montecarlo,turkey,0.7117346938775511,0.12862304600400584,0.6093537414965984,-24.49190113940469
